dataset,cant_threads,tiempo_carga
instancias/separados/2_archivos,1,26662.0
instancias/separados/2_archivos,2,26706.85
instancias/separados/2_archivos,3,27669.85
instancias/separados/2_archivos,4,26645.6
instancias/separados/2_archivos,5,26758.6
instancias/separados/2_archivos,6,26884.45
instancias/separados/2_archivos,7,33161.3
instancias/separados/2_archivos,8,32266.550000000003
instancias/separados/2_archivos,9,30709.85
instancias/separados/2_archivos,10,26838.5
instancias/separados/2_archivos,11,27035.75
instancias/separados/2_archivos,12,28373.1
instancias/separados/2_archivos,13,26476.25
instancias/separados/2_archivos,14,27345.0
instancias/separados/2_archivos,15,26578.4
instancias/separados/2_archivos,16,26858.75
instancias/separados/2_archivos,17,26582.65
instancias/separados/2_archivos,18,26947.25
instancias/separados/2_archivos,19,27191.95
instancias/separados/4_archivos,1,26449.699999999997
instancias/separados/4_archivos,2,26453.95
instancias/separados/4_archivos,3,26800.6
instancias/separados/4_archivos,4,26843.6
instancias/separados/4_archivos,5,26598.55
instancias/separados/4_archivos,6,26615.6
instancias/separados/4_archivos,7,26558.35
instancias/separados/4_archivos,8,26559.9
instancias/separados/4_archivos,9,26907.0
instancias/separados/4_archivos,10,26961.05
instancias/separados/4_archivos,11,26963.25
instancias/separados/4_archivos,12,26799.050000000003
instancias/separados/4_archivos,13,26800.050000000003
instancias/separados/4_archivos,14,26898.800000000003
instancias/separados/4_archivos,15,27084.75
instancias/separados/4_archivos,16,26910.85
instancias/separados/4_archivos,17,26992.15
instancias/separados/4_archivos,18,26799.35
instancias/separados/4_archivos,19,26906.9
instancias/separados/8_archivos,1,26785.8
instancias/separados/8_archivos,2,26456.4
instancias/separados/8_archivos,3,26786.050000000003
instancias/separados/8_archivos,4,26709.85
instancias/separados/8_archivos,5,26858.199999999997
instancias/separados/8_archivos,6,27103.550000000003
instancias/separados/8_archivos,7,26772.05
instancias/separados/8_archivos,8,26852.25
instancias/separados/8_archivos,9,26969.25
instancias/separados/8_archivos,10,26854.65
instancias/separados/8_archivos,11,26870.85
instancias/separados/8_archivos,12,27206.550000000003
instancias/separados/8_archivos,13,26857.949999999997
instancias/separados/8_archivos,14,26929.699999999997
instancias/separados/8_archivos,15,27237.35
instancias/separados/8_archivos,16,27049.75
instancias/separados/8_archivos,17,26990.7
instancias/separados/8_archivos,18,26874.550000000003
instancias/separados/8_archivos,19,26927.25
instancias/separados/16_archivos,1,26822.75
instancias/separados/16_archivos,2,26868.95
instancias/separados/16_archivos,3,27068.85
instancias/separados/16_archivos,4,26457.05
instancias/separados/16_archivos,5,26915.550000000003
instancias/separados/16_archivos,6,26627.0
instancias/separados/16_archivos,7,27155.449999999997
instancias/separados/16_archivos,8,27397.15
instancias/separados/16_archivos,9,27013.550000000003
instancias/separados/16_archivos,10,26755.55
instancias/separados/16_archivos,11,26808.4
instancias/separados/16_archivos,12,26896.95
instancias/separados/16_archivos,13,29192.449999999997
instancias/separados/16_archivos,14,31065.75
instancias/separados/16_archivos,15,30915.449999999997
instancias/separados/16_archivos,16,32772.45
instancias/separados/16_archivos,17,32020.3
instancias/separados/16_archivos,18,34932.6
instancias/separados/16_archivos,19,40536.25
instancias/separados/32_archivos,1,39142.9
instancias/separados/32_archivos,2,40495.95
instancias/separados/32_archivos,3,40054.3
instancias/separados/32_archivos,4,39029.55
instancias/separados/32_archivos,5,38258.899999999994
instancias/separados/32_archivos,6,39856.8
instancias/separados/32_archivos,7,39645.8
instancias/separados/32_archivos,8,39353.1
instancias/separados/32_archivos,9,40095.4
instancias/separados/32_archivos,10,39243.05
instancias/separados/32_archivos,11,39595.45
instancias/separados/32_archivos,12,39239.0
instancias/separados/32_archivos,13,39377.5
instancias/separados/32_archivos,14,37208.3
instancias/separados/32_archivos,15,43388.25
instancias/separados/32_archivos,16,41519.3
instancias/separados/32_archivos,17,38620.149999999994
instancias/separados/32_archivos,18,37465.7
instancias/separados/32_archivos,19,40069.2
instancias/separados/64_archivos,1,40252.8
instancias/separados/64_archivos,2,39882.0
instancias/separados/64_archivos,3,41776.899999999994
instancias/separados/64_archivos,4,40039.3
instancias/separados/64_archivos,5,39404.9
instancias/separados/64_archivos,6,29873.15
instancias/separados/64_archivos,7,28986.3
instancias/separados/64_archivos,8,30220.45
instancias/separados/64_archivos,9,31596.550000000003
instancias/separados/64_archivos,10,29056.1
instancias/separados/64_archivos,11,29178.449999999997
instancias/separados/64_archivos,12,29360.7
instancias/separados/64_archivos,13,37199.75
instancias/separados/64_archivos,14,31222.6
instancias/separados/64_archivos,15,29652.2
instancias/separados/64_archivos,16,29611.25
instancias/separados/64_archivos,17,29542.15
instancias/separados/64_archivos,18,29895.35
instancias/separados/64_archivos,19,29862.7
instancias/separados/128_archivos,1,28947.75
instancias/separados/128_archivos,2,30538.55
instancias/separados/128_archivos,3,29565.5
instancias/separados/128_archivos,4,28643.1
instancias/separados/128_archivos,5,34450.7
instancias/separados/128_archivos,6,36087.05
instancias/separados/128_archivos,7,31010.0
instancias/separados/128_archivos,8,29601.9
instancias/separados/128_archivos,9,29713.550000000003
instancias/separados/128_archivos,10,30574.9
instancias/separados/128_archivos,11,29666.3
instancias/separados/128_archivos,12,29223.0
instancias/separados/128_archivos,13,29248.0
instancias/separados/128_archivos,14,29208.2
instancias/separados/128_archivos,15,31832.85
instancias/separados/128_archivos,16,32268.2
instancias/separados/128_archivos,17,33598.9
instancias/separados/128_archivos,18,32618.550000000003
instancias/separados/128_archivos,19,30348.65
instancias/separados/256_archivos,1,30063.35
instancias/separados/256_archivos,2,28600.199999999997
instancias/separados/256_archivos,3,29138.6
instancias/separados/256_archivos,4,28247.1
instancias/separados/256_archivos,5,28164.300000000003
instancias/separados/256_archivos,6,32057.4
instancias/separados/256_archivos,7,31613.300000000003
instancias/separados/256_archivos,8,31526.4
instancias/separados/256_archivos,9,31509.25
instancias/separados/256_archivos,10,28434.550000000003
instancias/separados/256_archivos,11,28153.55
instancias/separados/256_archivos,12,27634.6
instancias/separados/256_archivos,13,27644.7
instancias/separados/256_archivos,14,27848.75
instancias/separados/256_archivos,15,27615.3
instancias/separados/256_archivos,16,27892.5
instancias/separados/256_archivos,17,27735.55
instancias/separados/256_archivos,18,27722.6
instancias/separados/256_archivos,19,31449.449999999997
instancias/separados/512_archivos,1,33595.3
instancias/separados/512_archivos,2,30687.35
instancias/separados/512_archivos,3,28284.75
instancias/separados/512_archivos,4,26952.55
instancias/separados/512_archivos,5,27029.25
instancias/separados/512_archivos,6,26885.25
instancias/separados/512_archivos,7,26767.85
instancias/separados/512_archivos,8,26894.9
instancias/separados/512_archivos,9,26780.2
instancias/separados/512_archivos,10,30533.0
instancias/separados/512_archivos,11,49442.75
instancias/separados/512_archivos,12,49724.45
instancias/separados/512_archivos,13,50802.75
instancias/separados/512_archivos,14,50005.0
instancias/separados/512_archivos,15,48488.55
instancias/separados/512_archivos,16,53134.45
instancias/separados/512_archivos,17,49490.0
instancias/separados/512_archivos,18,51630.65
instancias/separados/512_archivos,19,57845.25
instancias/separados/1024_archivos,1,73923.8
instancias/separados/1024_archivos,2,67828.65
instancias/separados/1024_archivos,3,69578.04999999999
instancias/separados/1024_archivos,4,71903.75
instancias/separados/1024_archivos,5,73588.15
instancias/separados/1024_archivos,6,68807.6
instancias/separados/1024_archivos,7,69375.4
instancias/separados/1024_archivos,8,71765.1
instancias/separados/1024_archivos,9,53666.2
instancias/separados/1024_archivos,10,42265.0
instancias/separados/1024_archivos,11,52670.25
instancias/separados/1024_archivos,12,48883.9
instancias/separados/1024_archivos,13,49633.6
instancias/separados/1024_archivos,14,53992.75
instancias/separados/1024_archivos,15,55760.55
instancias/separados/1024_archivos,16,54441.4
instancias/separados/1024_archivos,17,46097.649999999994
instancias/separados/1024_archivos,18,54834.4
instancias/separados/1024_archivos,19,53428.95
